country,country1,country2,country_others,director,director_cn1,director_cn2,director_en1,director_en2,info,movie_name,ranking,score,score_num,year
美国,美国,,,威廉·惠勒 William Wyler,威廉·惠勒,,William Wyler,,"导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情",罗马假日,42,9.0,623588,1953
美国 德国,美国,德国,,大卫·芬奇 David Fincher,大卫·芬奇,,David Fincher,,"导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚",搏击俱乐部,43,9.0,579452,1999
韩国,韩国,,,李濬益 Jun-ik Lee,李濬益,,Jun-ik Lee,,"导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情",素媛,44,9.2,367333,2013
美国,美国,,,马丁·布莱斯 Martin Brest,马丁·布莱斯,,Martin Brest,,"导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情",闻香识女人,45,9.0,537683,1992
韩国,韩国,,,杨宇硕 Woo-seok Yang,杨宇硕,,Woo-seok Yang,,"导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
                            2013 / 韩国 / 剧情",辩护人,46,9.2,374745,2013
黎巴嫩 法国 美国,黎巴嫩,法国,美国,娜丁·拉巴基 Nadine Labaki,娜丁·拉巴基,,Nadine Labaki,,"导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...
                            2018 / 黎巴嫩 法国 美国 / 剧情",何以为家,47,9.1,461763,2018
德国,德国,,,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,弗洛里安·亨克尔·冯·多纳斯马尔克,,Florian Henckel von Donnersmarck,,"导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
                            2006 / 德国 / 剧情 悬疑",窃听风暴,48,9.1,366469,2006
美国,美国,,,彼得·威尔 Peter Weir,彼得·威尔,,Peter Weir,,"导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情",死亡诗社,49,9.1,446001,1989
美国,美国,,,弗朗西斯·福特·科波拉 Francis Ford Coppola,弗朗西斯·福特·科波拉,,Francis Ford Coppola,,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪",教父2,50,9.2,320923,1974
美国 新西兰,美国,新西兰,,彼得·杰克逊 Peter Jackson,彼得·杰克逊,,Peter Jackson,,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险",指环王2：双塔奇兵,51,9.1,433773,2002
英国,英国,,,Guy Ritchie,,,Guy Ritchie,,"导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran
                            1998 / 英国 / 剧情 喜剧 犯罪",两杆大烟枪,52,9.1,392185,1998
美国,美国,,,"Roger Allers , 罗伯·明可夫 Rob Minkoff",,罗伯·明可夫,Roger Allers,Rob Minkoff,"导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 动画 冒险 歌舞",狮子王,53,9.0,485642,1994
