movie_name,ranking,director,score,score_num,tag,year,country,actor
幽灵公主,88,宫崎骏 Hayao Miyazaki,8.8,276399,动画 奇幻 冒险,1997,日 本, 松田洋治 Y?ji Matsuda / 石田百合...
第六感,89,M·奈特·沙马兰 M. Night Shyamalan,8.8,276723,剧情 悬疑 惊悚,1999,美 国, 布鲁斯·威利斯 Bruce Wi...
重庆森林,90,王家卫 Kar Wai Wong,8.7,393859,剧情 爱情,1994,香 港, 林青霞 Brigitte Lin / 金城武 Takeshi K...
狩猎,91,托马斯·温特伯格 Thomas Vinterberg,9.1,162387,剧情,2012,丹 麦   瑞 典, 麦斯·米科尔森 Mads Mik...
致命ID,92,James Mangold,8.7,380260,剧情 悬疑 惊悚,2003,美 国, John Cusack / Ray Liotta / Amanda Peet
断背山,93,李安 Ang Lee,8.7,378120,剧情 爱情 同性 家庭,2005,美 国   加 拿 大, 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
穿条纹睡衣的男孩,94,马克·赫门 Mark Herman,8.9,189602,剧情 战争,2008,英 国   美 国, 阿沙·巴特菲尔德 Asa Butterfield / ...
大鱼,95,蒂姆·波顿 Tim Burton,8.7,296217,剧情 家庭 奇幻 冒险,2003,美 国, 伊万·麦克格雷格 Ewan McGregor / 阿...
加勒比海盗,96,戈尔·维宾斯基 Gore Verbinski,8.6,416285,动作 冒险 奇幻,2003,美 国, 约翰尼·德普 Johnny Depp / ...
阿凡达,97,詹姆斯·卡梅隆 James Cameron,8.6,627834,动作 战争 科幻 冒险,2009,美 国   英 国, 萨姆·沃辛顿 Sam Worthington ...
告白,98,中岛哲也 Tetsuya Nakashima,8.7,400735,剧情 惊悚,2010,日 本, 松隆子 Takako Matsu / 冈田将生 ...
摩登时代,99,查理·卓别林 Charles Chaplin,9.2,112159,喜剧 剧情 爱情,1936,美 国, 查理·卓别林 Charles Chaplin ...
一一,100,杨德昌 Edward Yang,8.9,180749,剧情 爱情 家庭,2000,台 湾   日 本, 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...
甜蜜蜜,101,陈可辛 Peter Chan,8.8,265811,剧情 爱情,1996,香 港, 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...
射雕英雄传之东成西就,102,刘镇伟 Jeffrey Lau,8.7,321713,喜剧 古装,1993,香 港, 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...
阳光姐妹淘,103,姜炯哲 Hyeong-Cheol Kang,8.8,317046,剧情 喜剧,2011,韩 国, 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...
消失的爱人,104,大卫·芬奇 David Fincher,8.7,428073,剧情 犯罪 悬疑 惊悚,2014,美 国, 本·阿弗莱克 Ben Affleck / 罗莎蒙...
爱在黎明破晓前,105,理查德·林克莱特 Richard Linklater,8.7,264107,剧情 爱情,1995,美 国   奥 地 利   瑞 士, 伊桑·霍克 Ethan Hawke ...
上帝之城,106,Kátia Lund / Fernando Meirelles,8.9,177072,犯罪 剧情,2002,巴 西   法 国, Alexandre Rodrigues / Lea...
侧耳倾听,107,近藤喜文 Yoshifumi Kondo,8.8,204501,剧情 爱情 动画,1995,日 本, 本名阳子 Youko Honna / 小林桂树 K...
爱在日落黄昏时,108,理查德·林克莱特 Richard Linklater,8.8,233603,剧情 爱情,2004,美 国, 伊桑·霍克 Ethan Hawke ...
风之谷,109,宫崎骏 Hayao Miyazaki,8.8,204938,动画 奇幻 冒险,1984,日 本, 岛本须美 Sumi Shimamoto / 松田洋治 Y...
超脱,110,托尼·凯耶 Tony Kaye,8.8,209988,剧情,2011,美 国, 艾德里安·布洛迪 Adrien Brody / 马西...
小森林 夏秋篇,111,森淳一 Junichi Mori,8.9,171009,剧情,2014,日 本, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
喜剧之王,112,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,8.6,384831,喜剧 剧情 爱情,1999,香 港, 周星驰 Stephen Ch...
倩女幽魂,113,程小东 Siu-Tung Ching,8.6,312625,剧情 爱情 武侠 古装,1987,香 港, 张国荣 Leslie Cheung / 王祖贤 Joey W...
恐怖直播,114,金秉祐 Byeong-woo Kim,8.7,276100,剧情 犯罪 悬疑,2013,韩 国, 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...
红辣椒,115,今敏 Satoshi Kon,8.9,164178,动画 悬疑 科幻 惊悚,2006,日 本, 林原惠美 Megumi Hayashibara / 古谷彻 T...
菊次郎的夏天,116,北野武 Takeshi Kitano,8.8,224413,剧情 喜剧,1999,日 本, 北野武 Takeshi Kitano / 关口雄介 Yus...
驯龙高手,117,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,8.7,339633,喜剧 动画 奇幻 冒险,2010,美 国,...
幸福终点站,118,史蒂文·斯皮尔伯格 Steven Spielberg,8.7,261329,喜剧 剧情 爱情,2004,美 国, 汤姆·汉克斯 Tom Hanks...
神偷奶爸,119,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,8.5,455962,喜剧 动画 冒险,2010,美 国   法 国, ...
借东西的小人阿莉埃蒂,120,米林宏昌 Hiromasa Yonebayashi,8.7,252770,动画 奇幻 冒险,2010,日 本, 志田未来 Mirai Shida / 神木...
岁月神偷,121,罗启锐 Alex Law,8.6,346142,剧情 家庭,2010,香 港   中 国 大 陆, 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...
杀人回忆,122,奉俊昊 Joon-ho Bong,8.7,243513,犯罪 剧情 悬疑 惊悚,2003,韩 国, 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
七武士,123,黑泽明 Akira Kurosawa,9.2,91123,动作 冒险 剧情,1954,日 本, 三船敏郎 Toshir? Mifune / 志村乔 ...
萤火虫之墓,124,高畑勋 Isao Takahata,8.7,233551,动画 剧情 战争,1988,日 本, 辰己努 / 白石绫乃 / 志乃原良子
怪兽电力公司,125,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,8.6,290515,儿童 喜剧 动画 奇幻 冒险,2001,美 国, 约...
谍影重重3,126,保罗·格林格拉斯 Paul Greengrass,8.7,211145,动作 悬疑 惊悚,2007,美 国   德 国, 马特·达蒙 Matt Damon / ...
喜宴,127,李安 Ang Lee,8.8,163357,剧情 喜剧 爱情 同性 家庭,1993,台 湾   美 国, 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...
小森林 冬春篇,128,森淳一 Junichi Mori,9,147953,剧情,2015,日 本, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
贫民窟的百万富翁,129,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,8.5,439612,剧情 爱情,2008,英 国   美 国, 戴夫...
电锯惊魂,130,詹姆斯·温 James Wan,8.7,228698,悬疑 惊悚 恐怖,2004,美 国, 雷·沃纳尔 Leigh Whannell / 加利·艾...
东邪西毒,131,王家卫 Kar Wai Wong,8.6,295770,剧情 动作 爱情 武侠 古装,1994,香 港   台 湾, 张国荣 Leslie Cheung / 林青霞 Brigitte...
请以你的名字呼唤我,132,卢卡·圭达尼诺 Luca Guadagnino,8.8,228357,剧情 爱情 同性,2017,意 大 利   法 国   巴 西   美 国, 蒂莫西·柴勒梅德 Timothée ...
记忆碎片,133,克里斯托弗·诺兰 Christopher Nolan,8.6,320777,犯罪 剧情 悬疑 惊悚,2000,美 国, 盖·皮尔斯 Guy Pearce /...
真爱至上,134,理查德·柯蒂斯 Richard Curtis,8.5,355539,喜剧 剧情 爱情,2003,英 国   美 国   法 国, 休·格兰特 Hugh Grant / 柯林...
黑天鹅,135,达伦·阿罗诺夫斯基 Darren Aronofsky,8.5,475405,剧情 惊悚,2010,美 国, 娜塔莉·波特曼 Natalie...
疯狂原始人,136,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,8.7,427388,喜剧 动画 冒险,2013,美 国,
哈利·波特与死亡圣器(下),137,大卫·叶茨 David Yates,8.7,323000,剧情 悬疑 奇幻 冒险,2011,美 国   英 国, 丹尼尔·雷德克里夫 Daniel Radcliffe...
萤火之森,138,大森贵弘 Takahiro Omori,8.8,196052,剧情 爱情 动画 奇幻,2011,日 本, 佐仓绫音 Ayane Sakura / 内山昂辉 K...
7号房的礼物,139,李焕庆 Hwan-kyeong Lee,8.7,212914,剧情 喜剧 家庭,2013,韩 国, 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...
雨人,140,巴瑞·莱文森 Barry Levinson,8.6,233269,剧情,1988,美 国, 达斯汀·霍夫曼 Dustin Hoffman ...
英雄本色,141,吴宇森 John Woo,8.6,209339,动作 犯罪,1986,香 港, 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...
卢旺达饭店,142,特瑞·乔治 Terry George,8.9,139677,剧情 历史 战争,2004,英 国   南 非   意 大 利   美 国, 唐·钱德尔 Don Cheadle / 苏菲·奥...
海洋,143,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,9,106736,纪录片,2009,法 国   瑞 士   西 班 牙   美 国   阿 联 酋,...
心迷宫,144,忻钰坤 Yukun Xin,8.7,218770,剧情 犯罪 悬疑,2014,中 国 大 陆, 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...
超能陆战队,145,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,8.6,443950,喜剧 动作 科幻 动画 冒险,2014,美 国, 斯科特...
唐伯虎点秋香,146,李力持 Lik-Chi Lee,8.5,407464,喜剧 爱情 古装,1993,香 港, 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...
